year,E95
1/1/2019,17800
1/16/2019,17600
1/31/2019,17600
2/15/2019,17600
3/2/2019,18540
3/18/2019,18540
4/2/2019,20030
4/17/2019,21230
5/2/2019,22190
5/17/2019,21590
6/1/2019,21210
6/17/2019,20130
7/2/2019,20510
7/17/2019,21230
8/1/2019,20910
8/16/2019,20400
8/31/2019,20230
9/16/2019,20140
10/1/2019,21060
10/16/2019,20790
10/31/2019,20440
11/15/2019,20790
11/30/2019,21070
12/16/2019,20880
12/31/2019,20990
1/15/2020,20910
1/30/2020,20120
2/14/2020,19380
2/29/2020,19120
3/15/2020,16810
3/29/2020,12560
4/13/2020,11930
4/28/2020,11630
5/13/2020,12230
5/28/2020,13120
6/12/2020,14080
6/27/2020,14970
7/13/2020,14970
7/28/2020,14970
8/12/2020,14920
8/27/2020,15110
9/11/2020,14980
9/26/2020,14980
10/12/2020,15120
10/27/2020,14940
11/11/2020,14700
11/26/2020,15350
12/11/2020,16000
12/26/2020,16470
1/11/2021,16930
1/26/2021,17270
2/10/2021,17270
2/25/2021,18080
3/12/2021,18880
3/27/2021,19040
4/12/2021,18970
4/27/2021,19160
5/12/2021,19530
5/27/2021,19530
6/11/2021,20160
6/26/2021,20910
7/12/2021,21780
7/27/2021,21680
8/11/2021,21680
8/26/2021,21130
9/10/2021,21390
9/25/2021,21940
10/11/2021,22870
10/26/2021,24330
11/10/2021,24990
11/25/2021,23900
12/10/2021,22800
12/25/2021,23290
1/11/2022,23870
1/21/2022,24360
2/11/2022,25320
2/21/2022,26280
3/1/2022,26830
3/11/2022,29820
3/21/2022,29190
4/1/2022,28150
4/12/2022,27310
4/21/2022,27990
5/4/2022,28430
5/11/2022,29980
5/23/2022,30650
6/1/2022,31570
6/13/2022,32370
6/21/2022,32870
7/1/2022,32760
7/11/2022,29670
7/21/2022,26070
8/1/2022,25600
8/11/2022,24660
8/22/2022,24660
9/5/2022,24230
9/12/2022,23210
9/21/2022,22580
10/3/2022,21440
10/11/2022,22000
10/21/2022,22340
11/1/2022,22750
11/11/2022,23860
11/21/2022,23780
12/1/2022,22700
12/12/2022,21200
12/21/2022,20700
